生首技	鮮血, 卓上, 看客, 喫驚	一八六五年	英國, 倫敦	可羅涅耳 斯脫德兒		I_01_24_02.ann
抱雞	孚卵, 伏雞, 抱, 華音相近, 嫗伏	漢	中國, 北燕朝鮮冽水	揚雄	揚子方言, 夏小正解, 月令, 連文釋義, 衍文長箋·氣侯月令辨證說	O_19_01_02.ann
日月星辰	一世界, 堂, 獄, 宮闕, 里數, 七政, 北辰, 三垣, 五星, 昊天, 世帝, 五帝, 紫微宮, 大帝, 耀魄寶, 太微宮, 靑帝, 靈威仰, 赤帝, 赤熛怒, 白帝, 白招拒, 黑帝, 叶光紀, 黃帝, 含樞紐, 天皇大帝, 元始天尊, 玉皇上帝, 玉京, 瑤京, 九重天, 楚辭, 東皞天, 東南陽天, 南赤天, 西南朱天, 西成天, 西北幽天, 北玄天, 東北變天, 中央鈞天, 十二重天論, 太陰月天, 辰星天, 太白天, 太陽日天, 熒惑天, 歲星天, 鎭星天, 恒星天, 宗動天, 三十三天, 欲界, 六天, 色界, 十八天, 無色界, 九天, 三十三天, 兜率天, 司空, 司徒, 日姓張 名表 字長史, 日姓孫 名開 字子眞, 蘇利耶, 上淸紫文鬱儀, 赤文, 踆烏, 三足, 觀日玉, 月姓文 名申 字子光, 月姓唐 名末 字天賢, 蘇摩, 上淸紫文結璘, 黃文, 列仙傳, 蟾蜍, 玉兎搗藥, 北斗, 牽牛, 織女, 一球, 彈丸之地	皇明萬曆, 唐明皇八月望日	扶桑國, 西河, 嵩山, 南斗食厲	洪湛軒, 大容, 德甫, 湛軒, 胡寅, 莊, 列, 張衡, 屈原, 利瑪竇, 徐整, 姮娥, 后羿, 杜甫, 吳剛, 鄭仁本, 王秀才, 翟天師乾祐, 祐, 太白上公, 女媊, 袁中郞宏道, 鄒生, 鄒衍, 朱夫子, 莊老, 釋氏	永寧院輪藏記, 周禮, 春秋緯, 道藏, 說天, 長曆, 和漢三才圖會, 老子歷藏中經, 通書正宗, 大孔雀經, 淮南子, 珊瑚苑錄, 酉陽雜俎, 開元遺事, 列仙傳, 天經或問, 法苑珠林, 關令內傳, 曆象儀, 說文, 星經, 廣莊·逍遙遊	O_01_02_01.ann
聾啞學校	神學者, 聾啞, 華族, 言語, 互交, 敎授, 宗敎家	一六五九年, 十八世紀末	英國, 法京 巴里, 波耳德	威廉何他, 亞歷山大波咸, 衣披		I_01_06_11.ann
天日行度	銃彈, 天日之行, 太陽, 宗動天, 列宿天, 道之恒星, 分數, 運化			湯道未, 湯若望, 道未	主制群徵, 主制群徵, 易	O_01_02_05.ann
持敬在恭	人道, 德, 敬, 恭, 敬齋箴, 正衣冠, 尊瞻視, 足容重, 手容恭, 恭而不敬, 怠慢, 國俗, 收檢, 假餙偸名, 賤外, 敗禮無憚, 學者之功, 內外互相養, 威儀, 德之隅, 柔木, 温温恭人, 德之基, 恭之養德			朱子, 嵇, 阮, 程, 武公	抑詩	S_07_01_85.ann
太平簫	歸化人, 軍中, 定大業, 烏梅, 山柚子, 性剛之木, 舌, 蔓蘆, 八孔	我太祖 三年	女眞			I_01_21_12.ann
冕	冠, 覆, 垂旒			黃帝		I_01_18_12.ann
象棋	將棋		支那, 我國	後周 武帝 宇文覺, 信陵君	象經	I_01_24_07.ann
洋燈		一七八 年	基尼法	愛梅伯加		I_01_23_37.ann
西域種羊	以骨爲種, 壟種羊, 宰羊種骨 復能生羊之理, 羊骨爲羊種		西域, 雲南, 迤西, 西海	段成式, 黃初平, 宗定伯, 姚佺, 李東璧, 王士禎, 姚桐壽, 楚石大師, 吳立夫, 劉郁, 江盈科	酉陽雜俎, 連文釋義, 列仙傳, 詩源, 本草綱目, 池北偶談, 異物志, 雙槐歲鈔, 唐書, 樂郊私語, 漠北懷古, 西域種羊皮書褥歌, 西使記, 博物志, 天香樓偶得, 種魚經, 物理小識	O_19_02_13.ann
寺刹	沙門, 桃李寺, 興輪寺, 度僧法, 九寺, 佛經, 白馬寺, 佛像, 元興寺	訥祗王, 眞興王 四年, 廣開土王 元年, 漢 明帝, 崇峻天皇 元年	新羅, 一善郡 桃開部曲 冷山, 高句麗, 我東, 支那, 洛陽, 日本	阿道和尙		I_01_07_04.ann
天氣豫報	海軍少將, 航海, 氣像, 天氣豫報法, 萬國	一八零五年	英吉利國	羅拔飛來		I_01_01_08.ann
投箋	鬪箋, 紙牌, 古法, 古篆, 奇恠, 人, 魚, 鳥, 雉, 星, 馬, 獐, 兎, 象形, 八十片, 八目, 一百二十箋, 譯官, 元制	元	支那, 我國	張炫		I_01_24_05.ann
度影稱水	歲候, 豎竿, 日月之影, 權衡, 甁水之重, 歲月陰晴, 土圭測景之法, 陽精, 陰宗, 占雨書, 日符, 月符, 月建, 月朔, 神后, 大雨日, 太沖, 小雨日, 稱水, 土炭, 陰精, 溫潤陰寒, 潮長, 潮降, 度影, 冬至, 八尺表, 美人, 惡人, 日食, 月食, 立春, 一丈竿, 端午, 日影, 立冬, 午影, 上元, 月午, 四月十六日, 月影, 瓦甁盛水			軒羲, 范魏, 黃帝, 婁元禮, 崔寔, 方中通	尙書·洪範, 田家五行, 四民月令, 曆法, 群芳譜, 東方朔占, 群芳譜, 花鏡, 本草綱目, 吳下志	O_01_05_18.ann
耕作	耒耟耜, 殖百穀, 牛耕, 耕地		支那, 新羅	神農氏, 厲山氏, 農, 帝俊, 叔均, 亞當, 解因, 智證王	祭法, 山海經, 創世紀	I_01_16_01.ann
宮殿	宮室, 避寒暑, 宮, 穹, 儒, 一畝之宮, 貴賤所居, 至尊所居, 殿, 前殿, 冀闕, 天子, 臣侍殿上, 兵陳殿下, 秦制	秦, 商, 周		黃帝, 秦 始皇, 秦 孝公	白虎通, 禮記 儒行, 史記, 玉海, 商子 定分篇	I_01_20_02.ann
鉦	鐲, 周制, 節鼓, 鐃, 止鼓				周禮	I_01_21_30.ann
彈丸	鐵丸, 爆裂彈, 波毋, 公爵, 兵使, 震天雷, 軍器寺, 砲匠, 大碗口, 火丸, 爆發, 繼究, 屯據, 敵, 發射, 客舍, 聚觀, 推轉, 諦視, 聲震天地, 立斃, 棄城, 遁走	十六世紀, 元 世祖, 十五世紀, 宣祖 壬辰	東洋, 西洋, 義大利, 密尼, 我東, 日本, 慶州城	斯支士曼馬剌德斯, 李長孫, 朴晋	懲毖錄	I_01_11_15.ann
治曆節度定紀	治曆之法, 平分十五日, 新法, 春分, 秋分, 日行, 贏縮, 伸縮, 赤道, 節氣, 天體, 平圓, 橢圓, 四遊, 冬至, 三百六十五日零三時, 赤道, 天腰, 子午, 黃道, 亥巳, 黃赤二道, 春秋分, 南北二陸, 冬夏至, 天心, 地心, 春分, 秋分, 八刻, 初一, 初二, 初三, 初四, 正一, 正二, 正三, 正四, 九十六刻, 西曆, 二十八宿, 箕, 斗, 牛, 女, 虛, 危, 室, 壁, 奎, 婁, 胃, 昴, 畢, 觜, 參, 井, 鬼, 柳, 星, 張, 軫, 角, 亢, 氐, 房, 心, 尾, 列宿			方愚者以智	大統曆, 萬年曆, 崇禎曆, 曆書, 萬年曆	O_01_05_02.ann
演劇	山戱, 演戱, 走丸, 跳劍, 山東山車, 戱車, 興雪, 動雷, 跟挂, 腹旋, 呑刀, 履索履素, 吐火, 激水潄霧, 轉石, 噴霧, 扛鼎, 象人, 恠獸, 舍利, 戱劇, 巧人, 木人, 歌舞, 被圍, 木偶, 美人, 機關, 運轉, 戱技, 下城, 匈奴, 解圍, 戱具, 傀儡戱, 山頭廣大, 儺禮都監, 獅子, 曼碩舞, 僧名, 大柯乃沙斯神, 祭禮, 神德	秦, 漢	支那, 平城, 我朝, 高麗, 希臘國	周 穆王, 偃師, 漢 高帝, 陳平, 閼支, 曼碩		I_01_24_01.ann
砲艦	兵艦, 巨砲, 砲臺	十九世紀, 孝明天皇 六年	西洋, 日本			I_01_11_25.ann
茶	檟, 苦茶, 茗茶, 茶名, 嗜茶, 入唐回使, 茶種, 杉芽, 冬靑茶, 黃茶, 冬橘茶, 輸入	魏晋, 唐, 興德王 二三年, 嵯峨天皇, 一千六百八十年	齊, 我國, 新羅, 智異山, 白頭山, 南海, 康津, 日本, 支那, 近江, 丹波, 歐羅巴	嬰, 陸羽, 大廉	爾雅, 晏子春秋, 茶經	I_01_26_08.ann
荔芰	十八娘	漢 高帝	閩越	南越王 尉佗		I_01_26_06.ann
玻璃甁	西人	一七四六年		雷敦		I_01_23_38.ann
魁星	奎, 文章之府, 魁, 玄武七宿, 北斗, 五魁, 魁宿, 斗, 杓, 羹斗, 魁陵, 冀土, 溝瀆, 小阜, 匏中, 蜃蛤, 梓潼, 四川, 參宿, 斗魁, 文昌, 天之武庫, 天子之武庫, 武庫, 武星, 壁, 東壁, 天廟明堂, 張宿		蜀, 中國	顧亭林, 師古, 起宦光, 幽王, 韋昭, 潘岳, 李周翰, 張仲孝友, 弇州, 雲長, 翼德, 王應電, 仲孝友, 獻賊, 張獻忠, 太祖高皇帝	漢書·酷吏傳, 游俠傳, 淮南子注, 說文, 書·胤征, 記·曲禮, 呂氏春秋, 國語, 解, 鮑宣傳, 文選, 笙賦, 儀禮·士冠禮, 三餘贅筆, 詩, 題文昌祠投詞後, 星經, 天王會通, 天王會通	O_01_02_23.ann
博覽會	勸業博覽會, 繪畫展覽會	一七九十年	法國			I_01_06_12.ann
織布	布, 細布, 蠶絲, 麻枲, 絺葛, 白氎布, 木棉花, 竹布, 藤布, 桐布, 賓布, 楚布, 蕉布, 獠布, 蘭干布, 斑布, 彌牟布, 黃草布, 羊布, 海西毛織布, 鵞毳布, 廣布, 細班布	隋, 唐, 隋 大業 七年	緬甸, 交趾, 廣州, 桂州, 川蜀, 海州, 涪州, 巴州, 南州, 漢州, 湖州, 海西, 琉球	黃帝	釋名, 說文, 杜甫拾遺錄杜寶拾遺錄	I_01_17_11.ann
筐筥	九成之臺, 上帝, 鷰, 卵, 玉筐, 承筐			有娀氏	呂氏春秋, 易	I_01_23_22.ann
石板術	石板, 油質, 墨, 書畵, 紙上, 印刷	一千七百九十五年	德國	司門斯密, 亞剌衣		I_01_13_05.ann
指環	后妃, 群妾, 君所, 當御, 銀環, 有娠, 金環, 右手, 左手, 戒指, 議定官, 金指環, 貴族, 銀指環, 平民, 銅指環	三代	羅馬		五經要義	I_01_18_18.ann
盖	華盖, 曲盖, 繖扇, 傘, 凉傘, 雨傘			黃帝, 姜太公	古今註	I_01_09_06.ann
麻布	厥貢, 岱畎, 絲枲, 織造, 織麻		我東, 泰西, 埃及	摩西	禹貢	I_01_17_05.ann
蘇彛士運河	大運河, 運河, 鑿通, 蘇彛士河, 地峽, 開鑿, 蘇彛士港, 十年, 成功, 未開, 歐人, 航渡, 開通, 航路, 短縮	大業 元年, 西 一八五一年	東洋, 亞細亞, 亞非利, 地中海, 紅海, 希望峯	隋煬帝 楊廣, 法人 禮聶		I_01_02_04.ann
浮屠塔	黃龍寺, 九層塔, 寺塔, 丈六金像, 二寶, 佛, 頭骨, 佛牙, 舍利, 金点袈裟, 通度寺	善德主 十二年	新羅, 我東, 唐, 梁山郡	慈藏法師		I_01_07_05.ann
市肆	司市, 治敎, 政刑, 度量, 禁令, 大市, 百族, 朝市, 商賈, 夕市, 販夫販婦, 市典, 市師京師, 婦女, 貿販, 婦人, 粺米, 物價, 貿易, 布米, 內地		新羅, 高句麗, 日本	神農氏, 炤知王, 孫穆, 文武皇 大寶 年間	易 繫辭, 周禮, 唐書, 鷄林遺事鷄林類事	I_01_15_01.ann
五不均	秉國, 四方, 天子, 輕重, 遠近, 役民, 衆民, 名目, 役均, 軍卒, 名色, 鄕兵, 禦營, 禁衛, 南道, 上番, 裝送, 兵營, 水營, 兵馬使, 旗手, 吹手, 私賤, 束伍, 本官, 納錢布, 操練, 名實乖反, 水軍, 納錢, 納布, 水操, 見兵, 邦法, 閥閱, 其流之獘, 氓庶, 豪民, 儒士, 良役, 良民, 軍裝, 兵事, 隣族, 白骨, 兒弱, 京兵, 頒布, 給米, 私門, 蕩産, 窮民, 拯濟, 塗炭, 今之政				詩	S_07_01_71.ann
春牛芒神	土牛, 寒氣, 春牛, 司春之神, 祈穀之義, 春牛顔色, 芒神服色, 牛土, 蚰蜒, 休咎, 豐凶, 頭身, 納音, 芒神, 木靑色, 火紅色, 金白色, 水黑色, 土黃色, 水黑色, 木靑色, 衣色, 繫腰色, 黃色, 靑色, 黃衣, 靑繫要, 白衣, 紅繫腰, 黑衣, 黃繫腰, 紅衣, 黑繫腰, 靑衣, 白繫腰, 頭黃, 菜麥, 靑, 多瘟, 赤, 旱, 黑, 水, 白, 多風, 黃衣, 熟, 靑衣, 風, 赤衣, 旱, 黑衣, 水, 白衣, 霜	宋時立春日	揚州	李時珍, 陳藏器, 石天基	禮, 本草綱目, 雜錄, 夏小正, 月令, 周禮	O_01_06_07.ann
守歲	除夕, 士庶之家, 圍爐, 不寐, 渾室, 張燈, 諺傳, 除夜, 雙眉, 小兒, 米粉, 覽鏡, 眉白, 戱笑	漢, 魏	我國	孟元老	東京夢華錄	I_01_28_25.ann
鐸	遒人, 木鐸, 小鍾, 柄, 金爲口, 木爲舌	虞夏			書	I_01_21_28.ann
聽肺筒	病人, 肺, 醫士, 耳, 肺病	十八世紀				I_01_12_05.ann
陣法	八十一奇門陣法, 八陣法, 五衛陣法, 六十四陣, 六花陣, 常山蛇勢, 元央陣法	文宗, 天武天皇 十一年	國朝, 日本, 唐	黃帝, 諸葛亮, 李靖		I_01_11_24.ann
懷中時表	警醒時表, 搖錘, 理學大家	一七二五年, 十四世紀, 一五八三年	義大利	約翰哈里順, 家利勒柯		I_01_22_25.ann
月麗畢	畢, 胃, 昴, 觀象者				詩	S_01_01_06.ann
脂澤	面脂, 香澤, 頭髮, 脂膏, 粉白, 芳澤	周			楚辭	I_01_18_24.ann
琴制	大琴, 次大鉉, 中琴, 頌琴, 擊琴, 竹片, 兩儀琴, 奚琴, 胡中奚部, 月琴, 琵琶, 阮咸, 蜀人, 大蟒皮, 絃子, 銀甲, 三絃, 鼓弓, 弓弦, 蛇虺, 玄嶋琴, 伽倻琴, 鴈足, 手指, 洋琴, 銅絲, 風琴, 銅絃, 經唄, 木琴, 比琴, 竹筒, 馬鬃小弓	萬曆間	中原, 琉球國, 南蠻, 我東, 新羅, 伽倻, 極西, 東方, 墺門, 三吧寺, 坡山	柳惲, 武后, 蒯朗, 元行沖, 杜草堂, 王山岳, 嘉悉, 崔孤雲, 朱文長, 謝希逸, 趙勰, 蘇軾, 虞汝明, 趙希嶋, 鄧玉函, 成載淳	事物記原, 和漢三才圖會, 琴史, 雅琴名錄, 琴箋圖式, 雜書琴事, 古琴疏, 洞天淸錄, 奇音圖序	O_10_02_01.ann
琴制	琴瑟, 樂書, 絲樂, 音調, 絃度, 徽分, 伏羲琴, 大琴, 離注, 大瑟, 中琴, 小瑟, 黃鍾, 孔子琴, 岳山, 雁足, 琴徽, 宮絃, 商絃, 角絃, 五音, 五絃琴, 少宮, 少商, 絲音, 八音, 易八卦, 離音, 大絃, 下徵, 下羽, 三分損益之法, 中徽, 焦尾, 三準, 七絃, 徵絃, 龍齦, 旋宮, 燕樂譜, 管色合字, 黃鍾之宮, 無射, 太蔟, 律呂, 徵律, 羽律, 宮律, 五絃, 六絃, 變宮, 變徵, 空絃, 散聲, 聲調	唐, 宋, 隋		孔子, 舜, 文, 武, 姜夔, 樂史	正義, 韓詩外傳, 史記, 爾雅, 禮記, 通考, 廣雅, 風俗通, 國語, 南風, 白虎通, 管子, 宋·志, 七絃琴圖說	O_10_02_02.ann
山水輿	車制, 車制考, 輿圖, 山水凹凸之勢, 寒士遠遊之具, 山水拗突之象, 山棲谷飮之人二樂之備, 小車兩輪, 犂車	淸		戴震, 阮揅經元, 趙吉士, 朱文公, 靑莊公	考工記, 寄園寄所寄, 山棲志	O_10_01_15.ann
常食	一日, 二度, 一日一度, 常食, 夕食, 大餐, 行軍, 馬乳, 乾酪, 馬血		東洋, 希臘, 波斯, 羅馬, 蒙古			I_01_19_02.ann
毁譽	人主, 一獎, 宰相, 一譽, 富貴, 名節, 末俗易高, 險塗難盡, 士修於家, 天子之庭, 地位, 易高難保, 題目, 道心			退溪, 鄭子中, 朱子, 石應, 鄭自明, 荊公		S_07_01_89.ann
十二重九重七重十重	十二重, 九重, 金水, 日同天, 七重, 十重, 月天, 水星天, 金星天, 日天, 火星天, 木星天, 土星天, 恒星天, 宗動天, 恒星, 歲差, 南北二極, 地心, 七政, 天圓, 地亦圓, 渾天之術, 卵裹黃, 本輪, 次輪, 日尊天, 赤極, 黃極	元辛巳		李光地, 李安溪, 郭太史	周髀	O_01_01_02.ann
歲差	日行, 恒星, 恒度, 宗動天, 日, 月, 金水, 火, 木, 土, 日躔	唐、虞時, 堯、舜, 帝堯, 堯時		章潢, 李安溪	圖書編·中星正日總圖說, 測象一斑, 中星辨證說	O_01_02_06.ann
髦頭	纛, 翣扇, 先驅, 牙幢, 秦制, 天子	秦 文公, 舜, 周 武王				I_01_09_05.ann
驟雨落魚	降雨, 雨, 水, 製字, 雨粟, 雨麥, 隕石, 雨白氂, 雨草, 雨魚, 雨白綿, 雨肉, 天氣, 神軍, 鏃降, 鏑矢, 蟆股, 雷楔, 雷斧, 雨鏃, 雨蒼鹿, 雨五穀, 雨五色石, 雨棗, 雨鐵, 隕石, 小兒, 雨黃土, 細毛, 雨土, 雨絮, 雨穀, 蕎麥, 雨粟, 雨豆, 雨血, 雨毛, 雨石子, 雨銀, 灰雨, 災異, 雨雹, 雨氷片, 鮒鯽, 神龍, 魚族, 怪異, 雨魚, 小鯽, 異事, 物理書, 驟雨, 河魚, 暴雨, 雨魚, 兵喪, 狗, 鵝, 地震, 犬子, 絶異極怪	春秋時, 漢武帝天漢元年辛巳, 漢元帝時, 成帝時, 漢永和中, 桓帝時, 漢成帝時, 孫吳時, 魏武末年, 拓拔魏時, 至治元年, 魏時, 治平元年十二月, 熙寧五年十二月, 七年三月, 八年五月, 至元二十四年, 皇明洪武十九年九月丙子, 永樂十六年正月乙丑, 成化六年二月戊寅, 弘治八年六月甲子, 崇禎七年二月戊午, 八年, 元順帝正統二年正月朔, 弘治, 高麗仁宗時, 高宗時, 明宗辛亥三月朔, 顯宗戊申四月, 仁祖癸酉五月, 純宗戊辰五月, 丙戌二月, 漢成帝時, 唐光啓三年, 九月中, 宋, 宋治平丁未歲, 晉懷帝永嘉元年	岐山之陽, 宋五, 出羽, 陸奧, 能登, 日本, 金陵, 鄴中, 河內, 河間, 河東, 同州, 澄城, 郤陽, 朝邑, 湖廣應山, 海豐, 慶陽, 鏡城, 富寧, 金城, 京師, 淮南, 漳州, 吳郡婁縣, 洛陽, 晉	蒼頡, 王子元, 權大運, 少陵, 李澤風堂, 高騈, 郭彖, 陳眉公, 劉淵, 石勒	廣博物志, 和漢三才圖會, 本草, 天錄識餘, 楮記室, 宋史, 五雜組, 麗史, 杜詩批解, 對雨書懷走邀許主簿, 澤堂集, 太平廣記, 睽車志, 晉書·五行志, 祕笈	O_01_03_07.ann
太極	兩儀, 氣, 混沌, 淸濁, 天地, 太初, 太始, 形, 太素, 質, 素朴, 二氣, 輕淸, 天	攝提格, 甲辰, 己酉		天皇氏, 唐堯	河圖括地象, 廣雅	I_01_01_01.ann
臥褥	獸皮, 葉, 羽毛, 褥, 織毛褥, 氍毹, 毯氈, 毯, 毛席		希臘	何馬時	風俗通	I_01_17_08.ann
鵜鶘	汚澤水鳥, 淘河, 形如鴞而大, 喙長尺餘, 頷下胡大如數升橐, 群飛入水食魚, 洿澤, 逃河, 剝取其脂	仁廟之際		孔氏, 郭璞, 李時珍	詩·候人章, 本草	O_19_01_05.ann
流星	占星, 列宿, 星象, 占驗, 雨, 日陰, 風雨, 主旱, 主霧, 主來日火, 水旱, 災傷, 秋霜, 冬雪, 人報盜賊, 歲不登, 大水, 夜晴, 天陰, 主雨, 主大風				觀象玩占, 祥異賦, 群芳譜, 天文書	O_01_02_24.ann
方術	隂陽, 醫藥, 卜筮, 聖人, 相術, 支干, 推命, 葬埋, 求福, 天時, 地利, 孤虛, 旺相, 人命, 四柱, 鬼福及人, 堪輿家, 君子, 心術, 天下之理, 天下之事, 重厚, 長者, 喪名, 殺軀	成周, 李唐	西京	李虛中, 孟子		S_07_01_30.ann
正朝年賀	正月, 元日, 正朝, 朝賀, 新衣, 親戚, 尊長家, 慶賀, 新年, 歲拜, 時食, 歲饌, 歲酒, 迎春, 婦人, 靚粧, 少婢, 吉語, 問安婢, 仕宦家, 髹案, 堂上, 司史吏, 摺紙, 具名, 歲啣, 京師, 風俗, 主人, 出賀, 白紙簿, 筆硯, 賀客, 迎送, 七日之間, 下酵, 古代, 祝年, 祝賀, 渡去, 松竹, 戶外, 雙植, 迎新	摩西之時	我國, 支那, 西洋, 日本, 百濟	柳得恭, 王錡	京都雜誌, 寓圃雜記, 埃及記	I_01_28_01.ann
寒食春秋二社伏臘	寒食, 春秋, 二社, 伏, 臘, 火政, 祭祀, 蜡祭, 焚死, 禁煙, 紀節, 秦俗, 龍星, 木之精, 乾象, 辰心, 出火, 心之明堂, 司烜氏, 內火, 施火令, 失火, 熟食, 斷煙, 龍忌, 三月三日, 五月五, 邦國都鄙之數, 社稷之壝, 田主, 社壝, 大社, 王社, 國社, 侯社, 置社, 祈, 報, 大割祠, 歌載芟, 歌良耜, 用甲, 土穀之神, 春社, 秋社, 分肉, 竊肉, 陰氣, 盡日注, 萬鬼行, 三伏, 庚日, 夏至, 第三庚, 初伏, 第四庚, 中伏, 立秋, 第一庚, 西戎之俗, 歲時伏臘, 獵, 嘉平, 淸祀, 大蜡, 五臘, 天臘, 地臘, 道德臘, 民歲臘, 王侯臘, 蜡, 蜡索, 大蜡, 臘祭, 疈辜牲胸, 五運之說, 火德, 土德, 金德, 冬至, 二十四氣, 七十二候, 氣候	周, 秦, 漢代, 西秦, 和帝, 秦德公二年, 夏, 殷, 周, 正月一日, 五月五日, 七月七日, 十月一日, 十二月正臘日	漢, 魏, 晉	介子推, 晉侯, 屈原, 文公, 燧人氏, 士文伯, 周擧, 魏武, 陸翽, 子胥, 齊景公, 屈原, 左氏, 史遷, 琴操, 陳平, 方朔, 楊惲, 孫會宗, 秦德公, 伊耆氏, 鄒衍	周官, 周禮, 左傳, 呂氏春秋, 莊子, 楚辭·九章·惜往日, 冊府元龜, 路史·燧人改火論, 周官, 汝南先賢傳, 鄴中記, 易, 周禮·大司徒, 祭法, 漢書, 正義, 史記, 禮, 周官	O_01_06_03.ann
水陸車	車制, 江河川嶺, 水陸竝行之製, 其狀如船, 有輪有帆, 輪船, 車輪舸, 陣馬, 利涉, 木罌, 皮船, 使車, 平行輪, 高行輪, 鶴膝輪		中原, 太行, 蜀道, 我東	鄭厚祚, 李瀷, 茅元儀	四裔考, 僿說, 武備志, 李家圖書約, 轉濟圖說, 五洲衍文長箋·舟車別制辨證說	O_10_01_14.ann
雲梯	飛樓, 攻城, 宋城		魯	太公, 公輸般	六韜	I_01_11_13.ann
排水溝	田畔, 開溝法, 淫霖, 濕潦	一八二三年	英	惜米德		I_01_16_06.ann
凍凌成象崖土作紋	象, 氣, 所以然之理, 花鳥草木之形, 魚龍花草形, 花草獅鳳之形, 蜃氣, 樓臺, 廣野氣, 宮闕, 雨荳, 麥, 荳麥, 松蟲之毛, 柑蟲之色, 落星, 狗首, 天狗, 土氣, 雹竅, 光氣, 形象, 梅花, 蓮花, 豐兆, 海市, 山市, 陽燄, 水影, 旱浪, 河凍, 瓦凌, 白水, 眞火之氣, 濕潤之水土氣, 鬱留, 莽蒼之色, 得氣, 凝厚, 火化, 水影, 地鏡, 旱浪, 白氣, 影子, 手跡, 層紋, 陰陽之摩盪, 水所漾, 人骨, 仙蛻, 有文, 有色, 肖象, 氷凌, 花鳥形	崇禎壬申臘月, 丁丑春, 芒種, 建元十七年, 宋寶祐六年四月, 乙酉十月	燕, 趙, 齊, 魯, 長安, 常州晉陵, 河北, 平陽府侯馬驛, 天同山, 關中山, 武夷	宓山師, 揭暄, 廣昌劉季尖, 陸友仁, 愚者, 揭暄, 兆袞, 五洲, 薛文淸公, 陸子淵, 虛舟子	格致草, 長箋·海市辨證說, 晉·苻堅載記, 小識, 立土橫土各有崖文論	O_01_08_02.ann
黨論	獄訟, 偏黨, 小智, 私慧, 經訓, 訟坎, 情狀, 鞶帶, 聖人, 王道, 羣聚, 論政, 有功者, 强仕, 致仕, 任職, 退力, 智力, 疾病, 官守, 言責, 失職, 侍郞, 年老, 俗士, 賢否, 國家, 遞職, 赦令, 大臣, 臺諫, 有罪, 長休, 免罪, 爵祿, 貴賤, 先後			武后, 侯知一, 韓見素, 李至, 丙吉, 子	易	S_07_01_05.ann
元明曆節氣隨月數	曆書節氣, 立春, 驚蟄, 淸明, 立夏, 芒種, 小暑, 立秋, 白露, 寒露, 立冬, 大雪, 小寒, 雨水, 春分, 穀雨, 小滿, 夏至, 大暑, 處暑, 秋分, 霜降, 小雪, 冬至, 大寒	元甲午歲節, 正月一日, 二月二日, 三月三日, 四月四日, 五月五日, 六月六日, 七月七日, 八月八日, 九月九日, 十月十日, 十一月十一日, 十二月十二日, 皇明萬曆甲午歲	元, 皇明		授時, 大統	O_01_06_08.ann
